,'Lab3', 'Lab2', 'Lab6', 'Lab5', 'Lab4', 'Fina', 'Rela', 'Proj'
TOTALS,33,39,1217,1455,80,240,313,222
use,3,13,87,125,20,10,43,10
point,3,14,63,65,20,7,15,11
make,1,0,34,26,0,1,5,3
rate,1,0,37,50,1,13,30,3
state,9,0,64,1,1,18,7,3
determine,1,0,54,76,2,5,4,3
test,1,0,85,115,0,40,7,40
create,2,0,48,171,2,1,1,8
change,8,0,50,37,2,10,7,6
define,4,0,55,52,1,27,3,0
group,0,7,8,12,0,2,3,4
design,0,5,33,33,1,2,45,3
exhibit,0,0,11,7,0,0,1,0
incorporate,0,0,7,0,0,0,1,1
compare,0,0,1,6,0,4,9,10
set,0,0,84,242,6,23,26,29
recognize,0,0,15,18,0,0,0,0
choose,0,0,4,6,0,2,1,0
interpret,0,0,2,0,0,0,0,0
distinguish,0,0,1,1,0,1,0,0
measure,0,0,20,15,0,1,1,0
select,0,0,35,6,0,1,0,0
detect,0,0,46,20,0,4,5,2
calculate,0,0,51,54,6,27,2,1
show,0,0,19,7,0,1,9,1
question,0,0,5,1,0,1,0,0
experiment,0,0,8,16,0,6,3,4
eliminate,0,0,6,0,0,1,3,0
recommend,0,0,9,3,0,1,0,4
match,0,0,1,6,0,0,0,0
locate,0,0,7,3,0,1,0,0
evaluate,0,0,2,0,0,4,2,3
practice,0,0,2,5,0,0,1,0
diagram,0,0,13,3,1,2,10,0
produce,0,0,25,15,0,1,8,3
plan,0,0,4,1,0,0,0,0
judge,0,0,2,1,0,0,0,0
develop,0,0,1,9,0,0,1,0
estimate,0,0,4,0,0,0,0,0
discuss,0,0,3,0,0,0,6,24
convert,0,0,5,4,8,0,0,0
name,0,0,9,0,2,0,0,0
value,0,0,143,94,0,13,26,6
employ,0,0,7,3,0,0,1,0
record,0,0,31,15,2,0,0,3
solve,0,0,1,1,0,1,2,0
identify,0,0,8,49,0,0,0,5
operate,0,0,7,5,0,0,0,0
assess,0,0,0,2,0,1,0,0
categorize,0,0,0,3,0,0,0,0
collect,0,0,0,6,0,0,1,3
construct,0,0,0,51,2,0,1,4
conclude,0,0,0,6,0,0,1,0
know,0,0,0,2,0,1,1,0
demonstrate,0,0,0,2,0,1,1,0
arrange,0,0,0,2,0,0,0,0
list,0,0,0,2,1,0,0,0
compose,0,0,0,0,1,0,0,0
explain,0,0,0,0,1,0,2,3
relate,0,0,0,0,0,2,1,0
prepare,0,0,0,0,0,1,0,1
review,0,0,0,0,0,1,1,4
analyze,0,0,0,0,0,1,2,0
contrast,0,0,0,0,0,1,0,0
decide,0,0,0,0,0,0,1,0
describe,0,0,0,0,0,0,1,9
apply,0,0,0,0,0,0,4,0
illustrate,0,0,0,0,0,0,3,0
memorize,0,0,0,0,0,0,1,0
express,0,0,0,0,0,0,1,0
differentiate,0,0,0,0,0,0,1,0
simulate,0,0,0,0,0,0,1,0
summarize,0,0,0,0,0,0,1,3
hypothesize,0,0,0,0,0,0,0,1
cite,0,0,0,0,0,0,0,3
restate,0,0,0,0,0,0,0,1
