,Lab3,Lab2,Lab1,Lab6,Lab5,Lab4,Fina,Rela,
_avgChars,751,899,308,643,525,951,655,0,
analyze,0,0,0,0,1,0,0,0,
apply,0,1,0,1,0,1,0,0,
assemble,0,1,0,0,0,0,0,0,
change,0,4,2,2,1,4,1,0,
compare,0,0,0,0,0,0,2,0,
create,1,3,0,0,0,0,1,0,
describe,0,0,1,0,0,1,0,0,
design,5,6,0,0,0,0,0,0,
detect,0,1,0,0,0,0,0,0,
determine,0,0,0,0,0,1,0,0,
develop,0,0,0,0,0,1,0,0,
discover,0,1,0,0,0,0,0,0,
experiment,0,0,0,0,1,0,2,0,
group,2,0,0,4,0,4,1,0,
incorporate,1,0,1,0,0,0,0,0,
know,0,0,0,0,0,1,1,0,
locate,0,0,1,0,0,0,0,0,
make,0,2,1,0,1,1,0,0,
match,0,0,0,0,0,1,0,0,
operate,0,0,0,0,0,0,1,0,
plan,0,0,1,0,0,0,0,0,
point,1,0,0,0,0,1,0,0,
practice,0,1,2,0,0,0,0,0,
prepare,0,0,0,1,0,0,0,0,
produce,0,0,0,0,1,0,1,0,
rate,1,0,0,1,0,1,1,0,
recommend,5,2,1,2,3,3,1,0,
relate,0,1,1,1,0,0,0,0,
review,0,0,0,1,0,0,0,0,
set,1,1,0,1,0,0,1,0,
solve,0,1,1,0,0,0,0,0,
state,1,1,1,0,0,0,0,0,
test,1,2,0,1,0,0,3,0,
use,0,4,1,0,3,3,2,0,
value,0,0,1,0,0,0,0,0,
